date,forecast,method,ma_forecast,seasonal_forecast,es_forecast,lower_80,upper_80,lower_95,upper_95
2024-01-31,24053.244542919758,Ensemble,27591.206024148396,20932.08419818404,23636.44340642685,15576.902095246238,32529.586990593278,11073.845169919683,37032.643915919834
2024-02-29,22574.392478690133,Ensemble,27591.206024148396,17785.78686021935,22346.18455170266,14098.050031016614,31050.734926363653,9594.993105690059,35553.79185169021
2024-03-31,24665.572109240147,Ensemble,27591.206024148396,21294.698370343573,25110.811933228473,16189.229661566627,33141.91455691367,11686.172736240072,37644.971482240224
2024-04-30,24143.418569609978,Ensemble,27591.206024148396,21594.746371876612,23244.303312804936,15667.076121936458,32619.761017283497,11164.019196609903,37122.817942610054
2024-05-31,23343.766180813804,Ensemble,27591.206024148396,19007.780154235534,23432.312364057474,14867.423733140284,31820.108628487324,10364.366807813729,36323.16555381388
2024-06-30,21731.951841068047,Ensemble,27591.206024148396,16664.77911225263,20939.87038680311,13255.609393394527,30208.294288741567,8752.552468067972,34711.35121406812
